Caller	Callee
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeWithInvalidObject()	org.apache.commons.codec.Encoder.encode(Object)
org.apache.commons.codec.language.DoubleMetaphone.encode(String)	org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String)
org.apache.commons.codec.digest.DigestUtils.md5Hex(byte[])	org.apache.commons.codec.digest.DigestUtils.md5(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleG(String,DoubleMetaphoneResult,int,boolean)	org.apache.commons.codec.language.DoubleMetaphone.contains(String,int,int,String)
org.apache.commons.codec.language.DoubleMetaphone.handleGH(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.append(char)
org.apache.commons.codec.language.DoubleMetaphone.handleAEIOUY(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.append(char)
org.apache.commons.codec.binary.Base64Test.testSingletons()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.language.DoubleMetaphone.handleCC(String,DoubleMetaphoneResult,int)	org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult.append(char)
org.apache.commons.codec.language.Metaphone.isMetaphoneEqual(String,String)	org.apache.commons.codec.language.Metaphone.metaphone(String)
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithInvalidParameter()	org.apache.commons.codec.binary.Base64.decode(Object)
org.apache.commons.codec.language.DoubleMetaphone.conditionC0(String,int)	org.apache.commons.codec.language.DoubleMetaphone.isVowel(char)
org.apache.commons.codec.net.URLCodec.decode(Object)	org.apache.commons.codec.net.URLCodec.decode(String)
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqual()	org.apache.commons.codec.language.Metaphone.isMetaphoneEqual(String,String)
org.apache.commons.codec.digest.DigestUtils.shaHex(String)	org.apache.commons.codec.digest.DigestUtils.sha(String)
